Issuer,Year,total_AuM,AuM_Currency,Article_8_9,Percent
Amundi,2021,2064.0,EUR bn,780.0,37.79
Amundi,2022,1904.0,EUR bn,758.0,39.8
Amundi,2023,2037.0,EUR bn,852.94,41.87
Amundi,2024,2240.0,EUR bn,974.4,43.5
BlackRock,2021,10010.0,USD bn,2202.2,22.0
BlackRock,2022,8600.0,USD bn,1978.0,23.0
BlackRock,2023,10000.0,USD bn,2500.0,25.0
BlackRock,2024,11600.0,USD bn,3132.0,27.0
Blackstone,2021,881.0,USD bn,88.1,10.0
Blackstone,2022,975.0,USD bn,117.0,12.0
Blackstone,2023,1040.2,USD bn,145.63,14.0
Blackstone,2024,1127.2,USD bn,180.35,16.0
CITIC,2021,2500.0,CNY bn,125.0,5.0
CITIC,2022,2600.0,CNY bn,156.0,6.0
CITIC,2023,2700.0,CNY bn,189.0,7.0
CITIC,2024,2800.0,CNY bn,224.0,8.0
DWS,2021,928.0,EUR bn,213.44,23.0
DWS,2022,821.0,EUR bn,205.25,25.0
DWS,2023,896.0,EUR bn,250.88,28.0
DWS,2024,1012.0,EUR bn,323.84,32.0
KKR,2021,471.0,USD bn,37.68,8.0
KKR,2022,515.0,USD bn,46.35,9.0
KKR,2023,553.0,USD bn,60.83,11.0
KKR,2024,638.0,USD bn,82.94,13.0
Schroders,2021,731.6,GBP bn,204.85,28.0
Schroders,2022,737.5,GBP bn,221.25,30.0
Schroders,2023,750.6,GBP bn,247.7,33.0
Schroders,2024,778.7,GBP bn,280.33,36.0
State,2021,4100.0,USD bn,738.0,18.0
State,2022,3500.0,USD bn,665.0,19.0
State,2023,4100.0,USD bn,861.0,21.0
State,2024,4700.0,USD bn,1081.0,23.0
